X,Y,Z,f=1/p
2.3827746,1.7187232,10.150813,1
4.142437,1.2422976,9.609747,1
5.0857124,1.0004936,8.877153,1
5.9595575,0.8664241,7.907543,1
6.936351,0.7946012,6.9786325,1
7.041691,0.8831829,5.630755,1
7.0704203,0.66053164,4.1128964,1
7.8939896,0.94303524,2.774595,1
9.794905,1.0459815,1.9462368,1
10.661569,1.2207507,0.61272395,1
10.407793,1.2327212,-0.6034782,1
8.8899355,1.1800511,-2.0064201,1
7.599516,0.6437729,-2.583398,1
7.4989634,0.5527972,-4.1228037,1
8.372809,0.91430616,-5.4539227,1
7.4343233,1.4553723,-5.547292,1
5.791971,1.4553723,-6.8113766,1
3.6875582,0.83051264,-8.729049,1
1.3102182,0.52885616,-10.459983,1
0.6614175,0.95261157,-10.761639,1
0.6039591,2.1640258,-9.569378,1
-1.265832,2.1783903,-11.896442,1
1.7315797,0.5671618,-13.059974,1
1.86970407,0.8041775,-9.13844,1
1.15975842,0.4306981,-9.56459,1
1.46141487,0.4881565,-9.059435,1
2.9717228,-0.17261472,9.875492,1
3.2829554,-0.19416162,10.074202,1
3.1393096,0.02130726,9.34879,1
2.8903234,0.2870522,9.075863,1
2.6796427,0.47858012,8.860394,1
2.4569914,0.67489624,9.262603,1
2.4258683,0.7802366,9.291332,1
2.7035837,0.5144916,9.341608,1
2.9214468,0.40675718,9.710299,1
3.5534887,0.102706626,9.86831,1
4.10892,-0.4287833,9.68157,1
4.070614,-0.3928718,9.152474,1
4.197501,-0.49821216,8.680837,1
4.3483295,0.01173088,9.164445,1
4.46564,0.42112172,9.245844,1
4.125678,0.8783946,8.862788,1
4.1232843,0.9789467,8.838847,1
4.855879,0.58152634,8.728719,1
5.3538513,0.47139782,8.297781,1
5.91407,0.24874665,7.9482427,1
6.409649,0.1745296,7.790232,1
6.6729994,0.258323,7.352112,1
6.7113047,0.26311123,7.423935,1
7.5947275,0.19128828,6.86611,1
7.7479496,0.069189265,6.583606,1
7.743161,-0.026574701,6.016205,1
7.9346895,0.054824665,5.556538,1
8.468574,0.44027454,5.369798,1
8.681648,0.64616704,4.8407025,1
8.913877,0.54561484,4.225419,1
9.220321,0.5025211,3.667594,1
9.550706,0.5432208,3.2510207,1
9.543524,0.6365906,2.5615203,1
9.653652,0.4881565,1.7858323,1
9.742234,0.35169286,0.99817383,1
9.943338,0.282264,-0.036076844,1
9.876305,0.50012696,-1.3288901,1
9.749416,0.5336444,-1.3025552,1
9.713505,0.44985092,-1.3312843,1
9.589012,0.41154534,-1.8268628,1
9.591406,0.39718074,-2.367929,1
9.711111,0.354087,-3.2058635,1
9.10301,0.47139782,-3.8809996,1
7.9346895,0.5671618,-4.7500577,1
7.5851507,0.57434404,-5.8968306,1
7.422353,0.55758536,-6.557602,1
6.919592,0.55040306,-7.1848555,1
6.103204,0.40915126,-7.5391827,1
4.896578,0.38521022,-7.828869,1
4.9899483,0.5527972,-8.877484,1
4.278901,0.57913226,-8.925365,1
2.8735647,0.91670024,-9.176746,1
2.1361823,0.94303524,-10.215785,1
1.2024838,1.0699224,-10.301972,1
-0.056812182,1.1824452,-11.192577,1
-0.13581744,1.2159625,-10.519835,1
0.33821413,0.95261157,-9.586137,1
1.5975101,0.5695559,-10.112838,1
2.4138978,0.598285,-9.705842,1
2.3348925,0.13622399,-9.528678,1
2.2056112,0.4594273,-9.825547,1
1.6166629,0.79938936,-10.677846,1
1.2719126,1.0771048,-11.046537,1
1.8417081,1.2782091,-10.833462,1
3.3284435,0.78741884,-9.851882,1
4.578163,0.3181755,-8.441758,1
5.6914186,0.19847058,-7.139368,1
6.3306437,0.57434404,-6.097935,1
7.1901245,0.7155959,-6.5264783,1
7.745556,0.7395369,-6.054841,1
8.006513,0.4737919,-4.407701,1
8.923452,0.46421558,-3.4045737,1
9.998404,0.18171187,-2.2530122,1
9.857151,0.19128828,-0.6441779,1
9.114981,0.20325877,0.7132761,1
8.391963,0.32296365,2.2766225,1
8.2507105,0.33493418,3.8806686,1
8.286622,0.54561484,5.3937387,1
8.631372,0.48097426,6.777528,1
8.056788,0.1481945,7.033697,1
7.048873,-0.06009209,6.6434584,1
6.6658173,-0.12712684,7.26353,1
6.0409575,0.014124975,7.9697895,1
5.4424324,0.093130216,8.228353,1
4.966007,0.32056963,8.611408,1
4.65238,0.44985092,9.118957,1
4.2334127,0.5384326,9.166839,1
3.7569873,0.47618604,9.841975,1
3.388296,0.3085991,9.746211,1
3.146492,0.22001748,9.782122,1
3.1369154,0.15777092,9.803669,1
3.3260493,0.19607647,9.645658,1
3.3954782,0.23438208,9.439766,1
3.9173918,0.25592893,9.20275,1
4.5446453,0.38760436,9.200356,1
5.3179398,0.5384326,9.102198,1
5.825488,0.6341965,8.616196,1
